,ReportDt,Unit,Power,DocketNum
98,9/19/2023 12:00:00 AM,Braidwood 1,100,05000456
99,9/19/2023 12:00:00 AM,Braidwood 2,100,05000457
100,9/19/2023 12:00:00 AM,Browns Ferry 1,100,05000259
101,9/19/2023 12:00:00 AM,Browns Ferry 2,100,05000260
102,9/19/2023 12:00:00 AM,Browns Ferry 3,100,05000296
103,9/19/2023 12:00:00 AM,Brunswick 1,100,05000325
104,9/19/2023 12:00:00 AM,Brunswick 2,100,05000324
105,9/19/2023 12:00:00 AM,Byron 1,100,05000454
106,9/19/2023 12:00:00 AM,Byron 2,100,05000455
107,9/19/2023 12:00:00 AM,Callaway,100,05000483
108,9/19/2023 12:00:00 AM,Calvert Cliffs 1,100,05000317
109,9/19/2023 12:00:00 AM,Calvert Cliffs 2,100,05000318
110,9/19/2023 12:00:00 AM,Catawba 1,100,05000413
111,9/19/2023 12:00:00 AM,Catawba 2,100,05000414
112,9/19/2023 12:00:00 AM,Clinton,0,05000461
113,9/19/2023 12:00:00 AM,Columbia Generating Station,100,05000397
114,9/19/2023 12:00:00 AM,Comanche Peak 1,100,05000445
115,9/19/2023 12:00:00 AM,Comanche Peak 2,100,05000446
116,9/19/2023 12:00:00 AM,Cooper,100,05000298
117,9/19/2023 12:00:00 AM,D.C. Cook 1,100,05000315
118,9/19/2023 12:00:00 AM,D.C. Cook 2,100,05000316
119,9/19/2023 12:00:00 AM,Davis-Besse,100,05000346
120,9/19/2023 12:00:00 AM,Diablo Canyon 1,97,05000275
121,9/19/2023 12:00:00 AM,Diablo Canyon 2,100,05000323
122,9/19/2023 12:00:00 AM,Dresden 2,95,05000237
123,9/19/2023 12:00:00 AM,Dresden 3,100,05000249
124,9/19/2023 12:00:00 AM,Farley 1,100,05000348
125,9/19/2023 12:00:00 AM,Farley 2,100,05000364
126,9/19/2023 12:00:00 AM,Fermi 2,100,05000341
127,9/19/2023 12:00:00 AM,FitzPatrick,100,05000333
128,9/19/2023 12:00:00 AM,Ginna,100,05000244
